image_name,label
1,1
ROI_1000_img_13-7638696_100-5378675_a116-8034745_s206-8034745_y0_f90_1.jpg,Sedan
ROI_1001_MrtSutthisan_img_13-7967041_100-5728563_a101_s90_y75_f90_0.jpg,Sedan
ROI_1001_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,Sedan
ROI_1002_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,SUV
ROI_1003_MrtSutthisan_img_13-7813423_100-569404_a183_s270_y75_f90_0.jpg,NA
ROI_1003_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,NA
1,1
1,1
1,1
1,1
ROI_1006_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
ROI_1006_MrtSutthisan_img_13-7970521_100-5701702_a77_s90_y75_f90_0.jpg,Sedan
ROI_1006_MrtSutthisan_img_13-7981271_100-570414_a249_s270_y75_f90_0.jpg,NA
1,1
ROI_1006_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,Pickup
ROI_1007_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
1,1
1,1
1,1
1,1
1,1
ROI_1007_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,Hatchback
ROI_1008_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
1,1
ROI_1008_img_13-7659563_100-5650571_a25-47480747_s115-47480747_y0_f90_1.jpg,SUV
ROI_1008_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,NA
ROI_1009_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Pickup
ROI_1009_img_13-7639164_100-5538904_a200-0144276_s290-0144276_y0_f90_1.jpg,Pickup
1,1
ROI_1009_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,Sedan
ROI_1010_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Van
ROI_1010_img_13-7639921_100-616272_a80-60093766_s350-60093766_y0_f90_1.jpg,Sedan
ROI_1010_img_13-7659563_100-5650571_a25-47480747_s295-47480747_y0_f90_1.jpg,Sedan
ROI_1010_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,NA
ROI_1011_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Pickup
1,1
1,1
1,1
1,1
1,1
ROI_1014_img_13-7640486_100-5435011_a308-0017312_s218-0017312_y0_f90_1.jpg,SUV
ROI_1015_img_13-7091795890715_100-389729506829_s90_f90_y0_1_02-2021.jpg,NA
1,1
ROI_1017_img_13-7642485_100-6111918_a42-51152924_s312-51152924_y0_f90_1.jpg,Pickup
1,1
ROI_1018_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
1,1
1,1
ROI_1019_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1019_img_13-7656851_100-6039233_a307-0716701_s217-0716701_y0_f90_1.jpg,Sedan
ROI_1020_img_13-7097185733897_100-396515509228_s90_f90_y0_1_02-2021.jpg,NA
ROI_1020_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1021_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1022_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,Sedan
1,1
ROI_1024_MrtSutthisan_img_13-7913847_100-5686334_a82_s90_y75_f90_0.jpg,Pickup
1,1
ROI_1025_img_13-7643121_100-541877_a38-35356896_s308-35356896_y0_f90_1.jpg,NA
1,1
ROI_1026_img_13-8506141_100-5585844_a2-02319554_s92-02319554_y0_f90_1.jpg,NA
1,1
1,1
ROI_1028_MrtSutthisan_img_13-7858187_100-5738121_a182_s270_y75_f90_0.jpg,SUV
1,1
ROI_1029_img_13-7643371_100-539753_a30-82040882_s120-82040882_y0_f90_1.jpg,Sedan
1,1
ROI_1030_img_13-7643371_100-539753_a30-82040882_s120-82040882_y0_f90_1.jpg,Pickup
ROI_1031_MrtSutthisan_img_13-7987823_100-5730103_a260_s90_y75_f90_0.jpg,Sedan
1,1
1,1
1,1
ROI_1033_img_13-7643371_100-539753_a30-82040882_s120-82040882_y0_f90_1.jpg,NA
ROI_1034_MrtSutthisan_img_13-7858187_100-5738121_a2_s90_y75_f90_0.jpg,Sedan
ROI_1034_MrtSutthisan_img_13-7896076_100-5680772_a266_s270_y75_f90_0.jpg,Sedan
1,1
ROI_1034_img_13-7665105_100-5668351_a196-9319495_s286-9319495_y0_f90_1.jpg,Sedan
ROI_1035_MrtSutthisan_img_13-7896076_100-5680772_a266_s270_y75_f90_0.jpg,Sedan
ROI_1035_img_13-7643371_100-539753_a30-82040882_s120-82040882_y0_f90_1.jpg,Van
ROI_1035_img_13-768555_100-5518064_a204-7547127_s294-7547127_y0_f90_1.jpg,Sedan
ROI_1036_MrtSutthisan_img_13-7896076_100-5680772_a266_s270_y75_f90_0.jpg,NA
1,1
1,1
ROI_1037_MrtSutthisan_img_13-7896076_100-5680772_a266_s270_y75_f90_0.jpg,Sedan
1,1
ROI_1037_img_13-768555_100-5518064_a204-7547127_s294-7547127_y0_f90_1.jpg,NA
1,1
ROI_1038_img_13-7643371_100-539753_a30-82040882_s300-82040882_y0_f90_1.jpg,NA
1,1
1,1
ROI_1038_img_13-8023628_100-5735927_a181-9674793_s271-96747930000004_y0_f90_1.jpg,Sedan
ROI_1039_MrtSutthisan_img_13-7896076_100-5680772_a266_s270_y75_f90_0.jpg,Sedan
1,1
ROI_1039_img_13-7667727_100-5356214_a25-41138042_s115-41138042_y0_f90_1.jpg,Sedan
1,1
ROI_1040_img_13-7643371_100-539753_a30-82040882_s300-82040882_y0_f90_1.jpg,Sedan
ROI_1040_img_13-7667727_100-5356214_a25-41138042_s115-41138042_y0_f90_1.jpg,Sedan
1,1
1,1
1,1
ROI_1041_img_13-766893_100-5509405_a206-6984956_s116-6984956_y0_f90_1.jpg,Pickup
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
ROI_1044_img_13-7667727_100-5356214_a25-41138042_s115-41138042_y0_f90_1.jpg,NA
ROI_1045_MrtSutthisan_img_13-7897074_100-5680706_a266_s270_y75_f90_0.jpg,NA
1,1
ROI_1045_img_13-7644111_100-6052544_a310-250309_s220-25030900000002_y0_f90_1.jpg,SUV
ROI_1045_img_13-7667727_100-5356214_a25-41138042_s115-41138042_y0_f90_1.jpg,Pickup
1,1
ROI_1046_MrtSutthisan_img_13-7992657_100-5737119_a83_s270_y75_f90_0.jpg,Sedan
ROI_1046_img_13-7432452_100-5957342_a97-79115743_s7-791157429999998_y0_f90_1.jpg,Hatchback
ROI_1046_img_13-7585768_100-5633814_a191-3136842_s281-3136842_y0_f90_1.jpg,Hatchback
1,1
ROI_1047_MrtSutthisan_img_13-7898206_100-5669597_a85_s270_y75_f90_0.jpg,NA
ROI_1047_MrtSutthisan_img_13-7992657_100-5737119_a83_s270_y75_f90_0.jpg,Pickup
1,1
1,1
ROI_1048_img_13-7432452_100-5957342_a97-79115743_s7-791157429999998_y0_f90_1.jpg,Sedan
1,1
ROI_1048_img_13-7687317_100-5566526_a202-8189359_s292-81893590000004_y0_f90_1.jpg,Hatchback
1,1
1,1
ROI_1049_img_13-7667829_100-6190299_a170-1403324_s80-14033240000003_y0_f90_1.jpg,Sedan
ROI_1049_img_13-7687317_100-5566526_a202-8189359_s292-81893590000004_y0_f90_1.jpg,Sedan
1,1
ROI_1050_img_13-764449_100-5653806_a285-4078899_s195-4078899_y0_f90_1.jpg,NA
ROI_1050_img_13-7667829_100-6190299_a170-1403324_s80-14033240000003_y0_f90_1.jpg,Sedan
ROI_1050_img_13-7687317_100-5566526_a202-8189359_s292-81893590000004_y0_f90_1.jpg,Sedan
ROI_1051_MrtSutthisan_img_13-7899185_100-567728_a357_s270_y75_f90_0.jpg,NA
ROI_1051_img_13-7433181_100-5951845_a94-64753007_s184-64753007000002_y0_f90_1.jpg,Hatchback
1,1
ROI_1051_img_13-7667829_100-6190299_a170-1403324_s80-14033240000003_y0_f90_1.jpg,Sedan
ROI_1051_img_13-7687317_100-5566526_a202-8189359_s292-81893590000004_y0_f90_1.jpg,NA
ROI_1051_img_13-8456287_100-5809752_a167-6540674_s257-65406740000003_y0_f90_1.jpg,Sedan
ROI_1052_MrtSutthisan_img_13-7899185_100-567728_a357_s270_y75_f90_0.jpg,SUV
1,1
1,1
1,1
ROI_1053_MrtSutthisan_img_13-7899185_100-567728_a357_s270_y75_f90_0.jpg,Hatchback
1,1
ROI_1053_img_13-7471272543396_100-40592722463_s270_f90_y0_1_05-2021.jpg,Sedan
ROI_1053_img_13-7646228_100-5538957_a290-0834002_s200-08340020000003_y0_f90_1.jpg,Sedan
ROI_1053_img_13-7687317_100-5566526_a202-8189359_s292-81893590000004_y0_f90_1.jpg,NA
ROI_1054_MrtSutthisan_img_13-7899185_100-567728_a357_s270_y75_f90_0.jpg,Pickup
ROI_1054_img_13-7433181_100-5951845_a94-64753007_s184-64753007000002_y0_f90_1.jpg,Van
1,1
1,1
ROI_1055_img_13-7668684_100-5644266_a201-4719453_s291-4719453_y0_f90_1.jpg,Sedan
ROI_1056_img_13-7433181_100-5951845_a94-64753007_s184-64753007000002_y0_f90_1.jpg,Pickup
ROI_1056_img_13-7648889_100-6208356_a169-8589347_s79-85893469999996_y0_f90_1.jpg,NA
ROI_1057_img_13-7433181_100-5951845_a94-64753007_s184-64753007000002_y0_f90_1.jpg,Sedan
ROI_1057_img_13-7649164_100-6172962_a170-2122719_s80-21227190000002_y0_f90_1.jpg,Pickup
ROI_1059_MrtSutthisan_img_13-7992657_100-5737119_a83_s270_y75_f90_0.jpg,SUV
ROI_1059_img_13-7463663834576_100-40571877486_s270_f90_y0_1_03-2021.jpg,Sedan
ROI_1059_img_13-7650089_100-6026287_a130-5738337_s220-5738337_y0_f90_1.jpg,Pickup
ROI_1060_img_13-7650115_100-5581354_a108-6393676_s198-6393676_y0_f90_1.jpg,SUV
1,1
1,1
ROI_1062_img_13-765166_100-565893_a286-5798298_s196-57982979999997_y0_f90_1.jpg,NA
1,1
1,1
1,1
1,1
ROI_1066_img_13-7639164_100-5538904_a200-0144276_s290-0144276_y0_f90_1.jpg,Hatchback
1,1
ROI_1067_img_13-7639164_100-5538904_a200-0144276_s290-0144276_y0_f90_1.jpg,Pickup
ROI_1067_img_13-7653905_100-5533192_a23-19579371_s293-19579371_y0_f90_1.jpg,Sedan
ROI_1068_img_13-7653905_100-5533192_a23-19579371_s293-19579371_y0_f90_1.jpg,Pickup
ROI_1069_img_13-7640129_100-5640211_a102-7355857_s192-7355857_y0_f90_1.jpg,Pickup
1,1
1,1
1,1
ROI_1072_img_13-7668434_100-6189186_a172-4567308_s82-4567308_y0_f90_1.jpg,Sedan
ROI_1072_img_13-7690792_100-6185902_a171-5318181_s81-53181810000001_y0_f90_1.jpg,Hatchback
ROI_1073_img_13-6432776413176_100-409868712929_s270_f90_y0_1_09-2020.jpg,Pickup
ROI_1073_img_13-7656851_100-6039233_a307-0716701_s217-0716701_y0_f90_1.jpg,Pickup
ROI_1073_img_13-7668434_100-6189186_a172-4567308_s82-4567308_y0_f90_1.jpg,Sedan
ROI_1073_img_13-7690792_100-6185902_a171-5318181_s81-53181810000001_y0_f90_1.jpg,Sedan
ROI_1074_img_13-7656851_100-6039233_a307-0716701_s217-0716701_y0_f90_1.jpg,Hatchback
ROI_1074_img_13-7668434_100-6189186_a172-4567308_s82-4567308_y0_f90_1.jpg,Sedan
1,1
1,1
1,1
ROI_1077_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1077_img_13-7656851_100-6039233_a307-0716701_s37-071670100000006_y0_f90_1.jpg,Pickup
ROI_1077_img_13-7670448_100-6092199_a131-0863947_s221-0863947_y0_f90_1.jpg,Van
ROI_1078_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1078_img_13-7658726_100-5647296_a23-49582995_s113-49582995_y0_f90_1.jpg,Sedan
1,1
ROI_1079_img_13-7643121_100-541877_a38-35356896_s128-35356896_y0_f90_1.jpg,NA
ROI_1079_img_13-7658726_100-5647296_a23-49582995_s293-49582995000003_y0_f90_1.jpg,Hatchback
ROI_1079_img_13-7670448_100-6092199_a131-0863947_s221-0863947_y0_f90_1.jpg,NA
