Car_label,original_label,BD_Label,Name_label,,,SUV = 8,Convertible = 1,Sedan = 6,Wagon = 10,Hatchback = 3,Sports Car = 7,Coupe = 2,Minivan = 4,Pickup = 5,Van = 9,,,,,Coupe,,Coupe
AM General Hummer SUV 2000,1,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Acura RL Sedan 2012,2,Sedan,6,,,6,,4,,2,5,1,,3,7,,,,,Pickup,,Pickup
Acura TL Sedan 2012,3,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Acura TL Type-S 2008,4,Sports Car,7,,,,,,,,,,,,,,,,,Pickup,,Pickup
Acura TSX Sedan 2012,5,Sedan,6,,,,,,,,,,,,,,,,,SUV,,SUV
Acura Integra Type R 2001,6,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Acura ZDX Hatchback 2012,7,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Aston Martin V8 Vantage Convertible 2012,8,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Aston Martin V8 Vantage Coupe 2012,9,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Aston Martin Virage Convertible 2012,10,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Aston Martin Virage Coupe 2012,11,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Audi RS 4 Convertible 2008,12,Convertible,1,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Audi A5 Coupe 2012,13,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Audi TTS Coupe 2012,14,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Audi R8 Coupe 2012,15,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Audi V8 Sedan 1994,16,Sedan,6,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Audi 100 Sedan 1994,17,Sedan,6,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Audi 100 Wagon 1994,18,Wagon,10,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Audi TT Hatchback 2011,19,Hatchback,3,,,,,,,,,,,,,,,,,SUV,,SUV
Audi S6 Sedan 2011,20,Sedan,6,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Audi S5 Convertible 2012,21,Convertible,1,,,,,,,,,,,,,,,,,Sedan,,Sedan
Audi S5 Coupe 2012,22,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Audi S4 Sedan 2012,23,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Audi S4 Sedan 2007,24,Sedan,6,,,,,,,,,,,,,,,,,Pickup,,Pickup
Audi TT RS Coupe 2012,25,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
BMW ActiveHybrid 5 Sedan 2012,26,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
BMW 1 Series Convertible 2012,27,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
BMW 1 Series Coupe 2012,28,Coupe,2,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
BMW 3 Series Sedan 2012,29,Sedan,6,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
BMW 3 Series Wagon 2012,30,Wagon,10,,,,,,,,,,,,,,,,,SUV,,SUV
BMW 6 Series Convertible 2007,31,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
BMW X5 SUV 2007,32,SUV,8,,,,,,,,,,,,,,,,,Coupe,,Coupe
BMW X6 SUV 2012,33,SUV,8,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
BMW M3 Coupe 2012,34,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
BMW M5 Sedan 2010,35,Sedan,6,,,,,,,,,,,,,,,,,SUV,,SUV
BMW M6 Convertible 2010,36,Convertible,1,,,,,,,,,,,,,,,,,Coupe,,Coupe
BMW X3 SUV 2012,37,SUV,8,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
BMW Z4 Convertible 2012,38,Convertible,1,,,,,,,,,,,,,,,,,Van,,Van
Bentley Continental Supersports Conv. Convertible 2012,39,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Bentley Arnage Sedan 2009,40,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Bentley Mulsanne Sedan 2011,41,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Bentley Continental GT Coupe 2012,42,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Bentley Continental GT Coupe 2007,43,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Bentley Continental Flying Spur Sedan 2007,44,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Bugatti Veyron 16.4 Convertible 2009,45,Convertible,1,,,,,,,,,,,,,,,,,Pickup,,Pickup
Bugatti Veyron 16.4 Coupe 2009,46,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Buick Regal GS 2012,47,Sports Car,7,,,,,,,,,,,,,,,,,Coupe,,Coupe
Buick Rainier SUV 2007,48,SUV,8,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Buick Verano Sedan 2012,49,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Buick Enclave SUV 2012,50,SUV,8,,,,,,,,,,,,,,,,,Pickup,,Pickup
Cadillac CTS-V Sedan 2012,51,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Cadillac SRX SUV 2012,52,SUV,8,,,,,,,,,,,,,,,,,Pickup,,Pickup
Cadillac Escalade EXT Crew Cab 2007,53,Pickup,5,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54,Pickup,5,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Corvette Convertible 2012,55,Convertible,1,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Corvette ZR1 2012,56,Sports Car,7,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Chevrolet Corvette Ron Fellows Edition Z06 2007,57,Sports Car,7,,,,,,,,,,,,,,,,,Coupe,,Coupe
Chevrolet Traverse SUV 2012,58,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet Camaro Convertible 2012,59,Convertible,1,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet HHR SS 2010,60,Sports Car,7,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Impala Sedan 2007,61,Sedan,6,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Tahoe Hybrid SUV 2012,62,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet Sonic Sedan 2012,63,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet Express Cargo Van 2007,64,Van,9,,,,,,,,,,,,,,,,,SUV,,SUV
Chevrolet Avalanche Crew Cab 2012,65,Pickup,5,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Cobalt SS 2010,66,Sports Car,7,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Malibu Hybrid Sedan 2010,67,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet TrailBlazer SS 2009,68,Sports Car,7,,,,,,,,,,,,,,,,,SUV,,SUV
Chevrolet Silverado 2500HD Regular Cab 2012,69,Pickup,5,,,,,,,,,,,,,,,,,Coupe,,Coupe
Chevrolet Silverado 1500 Classic Extended Cab 2007,70,Pickup,5,,,,,,,,,,,,,,,,,SUV,,SUV
Chevrolet Express Van 2007,71,Van,9,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chevrolet Monte Carlo Coupe 2007,72,Coupe,2,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Chevrolet Malibu Sedan 2007,73,Sedan,6,,,,,,,,,,,,,,,,,Van,,Van
Chevrolet Silverado 1500 Extended Cab 2012,74,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chevrolet Silverado 1500 Regular Cab 2012,75,Pickup,5,,,,,,,,,,,,,,,,,SUV,,SUV
Chrysler Aspen SUV 2009,76,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chrysler Sebring Convertible 2010,77,Convertible,1,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Chrysler Town and Country Minivan 2012,78,Minivan,4,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chrysler 300 SRT-8 2010,79,Sports Car,7,,,,,,,,,,,,,,,,,Pickup,,Pickup
Chrysler Crossfire Convertible 2008,80,Convertible,1,,,,,,,,,,,,,,,,,Sedan,,Sedan
Chrysler PT Cruiser Convertible 2008,81,Convertible,1,,,,,,,,,,,,,,,,,Sedan,,Sedan
Daewoo Nubira Wagon 2002,82,Wagon,10,,,,,,,,,,,,,,,,,Coupe,,Coupe
Dodge Caliber Wagon 2012,83,Wagon,10,,,,,,,,,,,,,,,,,Pickup,,Pickup
Dodge Caliber Wagon 2007,84,Wagon,10,,,,,,,,,,,,,,,,,Coupe,,Coupe
Dodge Caravan Minivan 1997,85,Minivan,4,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Dodge Ram Pickup 3500 Crew Cab 2010,86,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
Dodge Ram Pickup 3500 Quad Cab 2009,87,Pickup,5,,,,,,,,,,,,,,,,,SUV,,SUV
