image_name,x1,x2,y1,y2,label
00001.jpg,39,116,569,375,1
00002.jpg,36,116,868,587,4
00003.jpg,85,109,601,381,3
00004.jpg,621,393,1484,1096,4
00005.jpg,14,36,133,99,3
00007.jpg,88,80,541,397,6
00008.jpg,73,79,591,410,4
00009.jpg,20,126,1269,771,4
00010.jpg,21,110,623,367,6
00011.jpg,51,93,601,393,4
00012.jpg,6,62,499,286,6
00013.jpg,30,36,418,307,4
00015.jpg,32,77,589,379,2
00016.jpg,27,49,611,396,1
00017.jpg,39,52,233,150,1
00018.jpg,3,8,190,147,4
00019.jpg,247,287,1366,761,2
00020.jpg,17,281,961,596,5
00021.jpg,17,156,695,375,5
00023.jpg,11,28,476,234,6
00024.jpg,53,126,973,621,2
00025.jpg,34,87,567,343,4
00026.jpg,30,174,598,379,4
00027.jpg,80,107,606,336,4
00028.jpg,45,115,585,382,3
00029.jpg,28,139,1564,1126,1
00030.jpg,82,109,874,521,4
00031.jpg,55,318,446,564,6
00032.jpg,12,31,471,350,2
00033.jpg,34,197,1011,656,5
00034.jpg,37,63,614,397,6
00035.jpg,223,87,1111,670,6
00036.jpg,138,41,521,223,1
00038.jpg,16,89,459,326,5
00039.jpg,53,113,614,350,4
00040.jpg,214,110,660,403,6
00041.jpg,61,55,566,408,1
00042.jpg,28,61,622,371,2
00043.jpg,22,39,588,362,7
00045.jpg,12,108,489,297,6
00046.jpg,28,80,759,466,1
00047.jpg,84,248,1102,899,4
00048.jpg,142,69,753,451,4
00049.jpg,166,543,887,903,4
00050.jpg,20,96,564,341,1
00051.jpg,41,181,607,465,3
00052.jpg,39,29,774,395,6
00053.jpg,161,191,425,307,1
00054.jpg,58,562,1528,1081,5
00055.jpg,80,120,582,391,1
00056.jpg,32,48,472,267,3
00057.jpg,260,138,972,439,4
00058.jpg,11,35,256,173,3
00059.jpg,68,91,607,354,3
00060.jpg,129,120,345,269,3
00061.jpg,11,104,1011,742,3
00062.jpg,19,21,425,265,2
00063.jpg,175,330,928,647,1
00064.jpg,97,39,925,700,4
00066.jpg,30,39,221,125,4
00067.jpg,129,89,594,432,3
00068.jpg,32,43,598,350,3
00069.jpg,142,124,675,445,4
00070.jpg,220,313,1054,976,4
00072.jpg,92,271,1178,749,6
00073.jpg,15,12,314,230,3
00074.jpg,14,12,309,223,3
00075.jpg,45,74,522,253,4
00077.jpg,25,25,3502,2017,6
00078.jpg,36,88,611,417,1
00079.jpg,165,126,749,425,6
00080.jpg,20,21,292,217,3
00082.jpg,63,113,597,413,2
00084.jpg,27,67,620,474,7
00085.jpg,15,80,629,402,4
00086.jpg,119,300,1416,871,6
00087.jpg,17,36,455,215,4
00088.jpg,171,176,2373,1751,2
00089.jpg,49,195,1003,617,4
00090.jpg,5,43,296,211,3
00091.jpg,49,57,494,419,4
00092.jpg,101,84,492,272,4
00094.jpg,19,60,783,440,1
00095.jpg,110,171,1213,648,3
00096.jpg,39,67,346,206,1
00097.jpg,3,7,76,50,5
00098.jpg,65,37,578,360,4
00099.jpg,27,60,486,364,6
00100.jpg,22,180,454,355,7
00101.jpg,70,39,940,742,2
00102.jpg,99,130,396,222,4
00103.jpg,85,107,609,381,4
00104.jpg,1,76,480,315,3
00105.jpg,57,266,967,623,6
00106.jpg,69,75,236,161,4
00107.jpg,24,17,249,163,6
