image_name,x1,x2,y1,y2,label
00001.jpg,39.0,116.0,569.0,375.0,1
00002.jpg,36.0,116.0,868.0,587.0,4
00003.jpg,85.0,109.0,601.0,381.0,3
00004.jpg,621.0,393.0,1484.0,1096.0,4
00005.jpg,14.0,36.0,133.0,99.0,3
00007.jpg,88.0,80.0,541.0,397.0,6
00008.jpg,73.0,79.0,591.0,410.0,4
00009.jpg,20.0,126.0,1269.0,771.0,4
00010.jpg,21.0,110.0,623.0,367.0,6
00011.jpg,51.0,93.0,601.0,393.0,4
00012.jpg,6.0,62.0,499.0,286.0,6
00013.jpg,30.0,36.0,418.0,307.0,4
00015.jpg,32.0,77.0,589.0,379.0,2
00016.jpg,27.0,49.0,611.0,396.0,1
00017.jpg,39.0,52.0,233.0,150.0,1
00018.jpg,3.0,8.0,190.0,147.0,4
00019.jpg,247.0,287.0,1366.0,761.0,2
00020.jpg,17.0,281.0,961.0,596.0,5
00021.jpg,17.0,156.0,695.0,375.0,5
00023.jpg,11.0,28.0,476.0,234.0,6
00024.jpg,53.0,126.0,973.0,621.0,2
00025.jpg,34.0,87.0,567.0,343.0,4
00026.jpg,30.0,174.0,598.0,379.0,4
00027.jpg,80.0,107.0,606.0,336.0,4
00028.jpg,45.0,115.0,585.0,382.0,3
00029.jpg,28.0,139.0,1564.0,1126.0,1
00030.jpg,82.0,109.0,874.0,521.0,4
00031.jpg,55.0,318.0,446.0,564.0,6
00032.jpg,12.0,31.0,471.0,350.0,2
00033.jpg,34.0,197.0,1011.0,656.0,5
00034.jpg,37.0,63.0,614.0,397.0,6
00035.jpg,223.0,87.0,1111.0,670.0,6
00036.jpg,138.0,41.0,521.0,223.0,1
00038.jpg,16.0,89.0,459.0,326.0,5
00039.jpg,53.0,113.0,614.0,350.0,4
00040.jpg,214.0,110.0,660.0,403.0,6
00041.jpg,61.0,55.0,566.0,408.0,1
00042.jpg,28.0,61.0,622.0,371.0,2
00043.jpg,22.0,39.0,588.0,362.0,7
00045.jpg,12.0,108.0,489.0,297.0,6
00046.jpg,28.0,80.0,759.0,466.0,1
00047.jpg,84.0,248.0,1102.0,899.0,4
00048.jpg,142.0,69.0,753.0,451.0,4
