Car_label,original_label,BD_Label,Name_label,,,SUV = 8,Convertible = 1,Sedan = 6,Wagon = 10,Hatchback = 3,Sports Car = 7,Coupe = 2,Minivan = 4,Pickup = 5,Van = 9
AM General Hummer SUV 2000,1,SUV,8,,,,,,,,,,,,
Acura RL Sedan 2012,2,Sedan,6,,,,,,,,,,,,
Acura TL Sedan 2012,3,Sedan,6,,,,,,,,,,,,
Acura TL Type-S 2008,4,Sports Car,7,,,,,,,,,,,,
Acura TSX Sedan 2012,5,Sedan,6,,,,,,,,,,,,
Acura Integra Type R 2001,6,Coupe,2,,,,,,,,,,,,
Acura ZDX Hatchback 2012,7,Hatchback,3,,,,,,,,,,,,
Aston Martin V8 Vantage Convertible 2012,8,Convertible,1,,,,,,,,,,,,
Aston Martin V8 Vantage Coupe 2012,9,Coupe,2,,,,,,,,,,,,
Aston Martin Virage Convertible 2012,10,Convertible,1,,,,,,,,,,,,
Aston Martin Virage Coupe 2012,11,Coupe,2,,,,,,,,,,,,
Audi RS 4 Convertible 2008,12,Convertible,1,,,,,,,,,,,,
Audi A5 Coupe 2012,13,Coupe,2,,,,,,,,,,,,
Audi TTS Coupe 2012,14,Coupe,2,,,,,,,,,,,,
Audi R8 Coupe 2012,15,Coupe,2,,,,,,,,,,,,
Audi V8 Sedan 1994,16,Sedan,6,,,,,,,,,,,,
Audi 100 Sedan 1994,17,Sedan,6,,,,,,,,,,,,
Audi 100 Wagon 1994,18,Wagon,10,,,,,,,,,,,,
Audi TT Hatchback 2011,19,Hatchback,3,,,,,,,,,,,,
Audi S6 Sedan 2011,20,Sedan,6,,,,,,,,,,,,
Audi S5 Convertible 2012,21,Convertible,1,,,,,,,,,,,,
Audi S5 Coupe 2012,22,Coupe,2,,,,,,,,,,,,
Audi S4 Sedan 2012,23,Sedan,6,,,,,,,,,,,,
Audi S4 Sedan 2007,24,Sedan,6,,,,,,,,,,,,
Audi TT RS Coupe 2012,25,Coupe,2,,,,,,,,,,,,
BMW ActiveHybrid 5 Sedan 2012,26,Sedan,6,,,,,,,,,,,,
BMW 1 Series Convertible 2012,27,Convertible,1,,,,,,,,,,,,
BMW 1 Series Coupe 2012,28,Coupe,2,,,,,,,,,,,,
BMW 3 Series Sedan 2012,29,Sedan,6,,,,,,,,,,,,
BMW 3 Series Wagon 2012,30,Wagon,10,,,,,,,,,,,,
BMW 6 Series Convertible 2007,31,Convertible,1,,,,,,,,,,,,
BMW X5 SUV 2007,32,SUV,8,,,,,,,,,,,,
BMW X6 SUV 2012,33,SUV,8,,,,,,,,,,,,
BMW M3 Coupe 2012,34,Coupe,2,,,,,,,,,,,,
BMW M5 Sedan 2010,35,Sedan,6,,,,,,,,,,,,
BMW M6 Convertible 2010,36,Convertible,1,,,,,,,,,,,,
BMW X3 SUV 2012,37,SUV,8,,,,,,,,,,,,
BMW Z4 Convertible 2012,38,Convertible,1,,,,,,,,,,,,
Bentley Continental Supersports Conv. Convertible 2012,39,Convertible,1,,,,,,,,,,,,
Bentley Arnage Sedan 2009,40,Sedan,6,,,,,,,,,,,,
Bentley Mulsanne Sedan 2011,41,Sedan,6,,,,,,,,,,,,
Bentley Continental GT Coupe 2012,42,Coupe,2,,,,,,,,,,,,
Bentley Continental GT Coupe 2007,43,Coupe,2,,,,,,,,,,,,
Bentley Continental Flying Spur Sedan 2007,44,Sedan,6,,,,,,,,,,,,
Bugatti Veyron 16.4 Convertible 2009,45,Convertible,1,,,,,,,,,,,,
Bugatti Veyron 16.4 Coupe 2009,46,Coupe,2,,,,,,,,,,,,
Buick Regal GS 2012,47,Sports Car,7,,,,,,,,,,,,
Buick Rainier SUV 2007,48,SUV,8,,,,,,,,,,,,
Buick Verano Sedan 2012,49,Sedan,6,,,,,,,,,,,,
Buick Enclave SUV 2012,50,SUV,8,,,,,,,,,,,,
Cadillac CTS-V Sedan 2012,51,Sedan,6,,,,,,,,,,,,
Cadillac SRX SUV 2012,52,SUV,8,,,,,,,,,,,,
Cadillac Escalade EXT Crew Cab 2007,53,Pickup,5,,,,,,,,,,,,
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54,Pickup,5,,,,,,,,,,,,
Chevrolet Corvette Convertible 2012,55,Convertible,1,,,,,,,,,,,,
Chevrolet Corvette ZR1 2012,56,Sports Car,7,,,,,,,,,,,,
Chevrolet Corvette Ron Fellows Edition Z06 2007,57,Sports Car,7,,,,,,,,,,,,
Chevrolet Traverse SUV 2012,58,SUV,8,,,,,,,,,,,,
Chevrolet Camaro Convertible 2012,59,Convertible,1,,,,,,,,,,,,
Chevrolet HHR SS 2010,60,Sports Car,7,,,,,,,,,,,,
Chevrolet Impala Sedan 2007,61,Sedan,6,,,,,,,,,,,,
Chevrolet Tahoe Hybrid SUV 2012,62,SUV,8,,,,,,,,,,,,
Chevrolet Sonic Sedan 2012,63,Sedan,6,,,,,,,,,,,,
Chevrolet Express Cargo Van 2007,64,Van,9,,,,,,,,,,,,
Chevrolet Avalanche Crew Cab 2012,65,Pickup,5,,,,,,,,,,,,
Chevrolet Cobalt SS 2010,66,Sports Car,7,,,,,,,,,,,,
Chevrolet Malibu Hybrid Sedan 2010,67,Sedan,6,,,,,,,,,,,,
Chevrolet TrailBlazer SS 2009,68,Sports Car,7,,,,,,,,,,,,
Chevrolet Silverado 2500HD Regular Cab 2012,69,Pickup,5,,,,,,,,,,,,
Chevrolet Silverado 1500 Classic Extended Cab 2007,70,Pickup,5,,,,,,,,,,,,
Chevrolet Express Van 2007,71,Van,9,,,,,,,,,,,,
Chevrolet Monte Carlo Coupe 2007,72,Coupe,2,,,,,,,,,,,,
Chevrolet Malibu Sedan 2007,73,Sedan,6,,,,,,,,,,,,
Chevrolet Silverado 1500 Extended Cab 2012,74,Pickup,5,,,,,,,,,,,,
Chevrolet Silverado 1500 Regular Cab 2012,75,Pickup,5,,,,,,,,,,,,
Chrysler Aspen SUV 2009,76,SUV,8,,,,,,,,,,,,
Chrysler Sebring Convertible 2010,77,Convertible,1,,,,,,,,,,,,
Chrysler Town and Country Minivan 2012,78,Minivan,4,,,,,,,,,,,,
Chrysler 300 SRT-8 2010,79,Sports Car,7,,,,,,,,,,,,
Chrysler Crossfire Convertible 2008,80,Convertible,1,,,,,,,,,,,,
Chrysler PT Cruiser Convertible 2008,81,Convertible,1,,,,,,,,,,,,
Daewoo Nubira Wagon 2002,82,Wagon,10,,,,,,,,,,,,
Dodge Caliber Wagon 2012,83,Wagon,10,,,,,,,,,,,,
Dodge Caliber Wagon 2007,84,Wagon,10,,,,,,,,,,,,
Dodge Caravan Minivan 1997,85,Minivan,4,,,,,,,,,,,,
Dodge Ram Pickup 3500 Crew Cab 2010,86,Pickup,5,,,,,,,,,,,,
Dodge Ram Pickup 3500 Quad Cab 2009,87,Pickup,5,,,,,,,,,,,,
Dodge Sprinter Cargo Van 2009,88,Van,9,,,,,,,,,,,,
Dodge Journey SUV 2012,89,SUV,8,,,,,,,,,,,,
Dodge Dakota Crew Cab 2010,90,Pickup,5,,,,,,,,,,,,
Dodge Dakota Club Cab 2007,91,Pickup,5,,,,,,,,,,,,
Dodge Magnum Wagon 2008,92,Wagon,10,,,,,,,,,,,,
Dodge Challenger SRT8 2011,93,Sports Car,7,,,,,,,,,,,,
Dodge Durango SUV 2012,94,SUV,8,,,,,,,,,,,,
Dodge Durango SUV 2007,95,SUV,8,,,,,,,,,,,,
Dodge Charger Sedan 2012,96,Sedan,6,,,,,,,,,,,,
Dodge Charger SRT-8 2009,97,Sports Car,7,,,,,,,,,,,,
Eagle Talon Hatchback 1998,98,Hatchback,3,,,,,,,,,,,,
FIAT 500 Abarth 2012,99,Hatchback,3,,,,,,,,,,,,
FIAT 500 Convertible 2012,100,Convertible,1,,,,,,,,,,,,
Ferrari FF Coupe 2012,101,Coupe,2,,,,,,,,,,,,
Ferrari California Convertible 2012,102,Convertible,1,,,,,,,,,,,,
Ferrari 458 Italia Convertible 2012,103,Convertible,1,,,,,,,,,,,,
Ferrari 458 Italia Coupe 2012,104,Coupe,2,,,,,,,,,,,,
Fisker Karma Sedan 2012,105,Sedan,6,,,,,,,,,,,,
Ford F-450 Super Duty Crew Cab 2012,106,Pickup,5,,,,,,,,,,,,
Ford Mustang Convertible 2007,107,Convertible,1,,,,,,,,,,,,
Ford Freestar Minivan 2007,108,Minivan,4,,,,,,,,,,,,
